GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
smart-house,ru.netology,Radio,0,172,0,4,0,47,0,19,0,17
smart-house,ru.netology,Volume,0,63,0,4,0,17,0,9,0,7
